Status_Conta_Corrente;Duracao_Mes;Proposito;Valor_Credito;Conta_Poupanca;Tempo_Emprego_Atual;Taxa_Parcelamento;Residencia_Atual_Desde;Idade;Moradia;N_Creditos_Existentes;Trabalho;N_Pessoas_Sustento;Telefone;Trabalhador_Estrangeiro;Risco;Faixa_Etaria
< 0 DM;48;Negócios;4308;< 100 DM;< 1 ano;3;4;24;Aluguel;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
0 a 200 DM;12;Rádio/TV;1567;< 100 DM;1  a 4 anos;1;1;22;Própria;1;Qualificado;1;Não;Sim;Bom;18-30 anos
< 0 DM;24;Carro Novo;1199;< 100 DM;>= 7 anos;4;4;60;Própria;2;Informal;1;Sim;Sim;Ruim;51-60 anos
< 0 DM;15;Carro Novo;1403;< 100 DM;1  a 4 anos;2;4;28;Aluguel;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
< 0 DM;24;Rádio/TV;1282;100 a 500 DM;1  a 4 anos;4;2;32;Própria;1;Informal;1;Sim;Sim;Ruim;31-40 anos
Sem conta;24;Rádio/TV;2424;Sem conta;>= 7 anos;4;4;53;Própria;2;Qualificado;1;Sim;Sim;Bom;51-60 anos
< 0 DM;30;Negócios;8072;Sem conta;< 1 ano;2;3;25;Própria;3;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;24;Carro Usado;12579;< 100 DM;>= 7 anos;4;2;44;Favor;1;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;41-50 anos
Sem conta;24;Rádio/TV;3430;500 a 1000 DM;>= 7 anos;3;2;31;Própria;1;Qualificado;2;Não;Sim;Bom;31-40 anos
Sem conta;9;Carro Novo;2134;< 100 DM;1  a 4 anos;4;4;48;Própria;3;Qualificado;1;Não;Sim;Bom;41-50 anos
< 0 DM;6;Rádio/TV;2647;500 a 1000 DM;1  a 4 anos;2;3;44;Aluguel;1;Qualificado;2;Sim;Sim;Bom;41-50 anos
< 0 DM;10;Carro Novo;2241;< 100 DM;< 1 ano;1;3;48;Aluguel;2;Informal;2;Sim;Não;Bom;41-50 anos
0 a 200 DM;12;Carro Usado;1804;100 a 500 DM;< 1 ano;3;4;44;Própria;1;Qualificado;1;Sim;Sim;Bom;41-50 anos
Sem conta;10;Móveis/Equipamento;2069;Sem conta;1  a 4 anos;2;1;26;Própria;2;Qualificado;1;Sim;Não;Bom;18-30 anos
< 0 DM;6;Móveis/Equipamento;1374;< 100 DM;1  a 4 anos;1;2;36;Própria;1;Informal;1;Não;Sim;Bom;31-40 anos
Sem conta;6;Rádio/TV;426;< 100 DM;>= 7 anos;4;4;39;Própria;1;Informal;1;Sim;Sim;Bom;31-40 anos
>= 200 DM;12;Rádio/TV;409;>= 1000 DM;1  a 4 anos;3;3;42;Aluguel;2;Qualificado;1;Sim;Sim;Bom;41-50 anos
0 a 200 DM;7;Rádio/TV;2415;< 100 DM;1  a 4 anos;3;2;34;Própria;1;Qualificado;1;Sim;Sim;Bom;31-40 anos
< 0 DM;60;Negócios;6836;< 100 DM;>= 7 anos;3;4;63;Própria;2;Qualificado;1;Não;Sim;Ruim;60+ anos
0 a 200 DM;18;Negócios;1913;>= 1000 DM;< 1 ano;3;3;36;Própria;1;Qualificado;1;Não;Sim;Bom;31-40 anos
< 0 DM;24;Móveis/Equipamento;4020;< 100 DM;1  a 4 anos;2;2;27;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;18;Carro Novo;5866;100 a 500 DM;1  a 4 anos;2;2;30;Própria;2;Qualificado;1;Não;Sim;Bom;18-30 anos
Sem conta;12;Negócios;1264;Sem conta;>= 7 anos;4;4;57;Aluguel;1;Informal;1;Sim;Sim;Bom;51-60 anos
>= 200 DM;12;Móveis/Equipamento;1474;< 100 DM;< 1 ano;4;1;33;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;31-40 anos
0 a 200 DM;45;Rádio/TV;4746;< 100 DM;< 1 ano;4;2;25;Própria;2;Informal;1;Sim;Sim;Ruim;18-30 anos
Sem conta;48;Educação;6110;< 100 DM;1  a 4 anos;1;3;31;Favor;1;Qualificado;1;Não;Sim;Bom;31-40 anos
>= 200 DM;18;Rádio/TV;2100;< 100 DM;1  a 4 anos;4;2;37;Própria;1;Qualificado;1;Sim;Sim;Ruim;31-40 anos
>= 200 DM;10;Eletrodomésticos;1225;< 100 DM;1  a 4 anos;2;2;37;Própria;1;Qualificado;1;Não;Sim;Bom;31-40 anos
0 a 200 DM;9;Rádio/TV;458;< 100 DM;1  a 4 anos;4;3;24;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;30;Rádio/TV;2333;500 a 1000 DM;>= 7 anos;4;2;30;Própria;1;Autônomo/Gerência/Oficial;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;12;Rádio/TV;1158;500 a 1000 DM;1  a 4 anos;3;1;26;Própria;1;Qualificado;1;Não;Sim;Bom;18-30 anos
0 a 200 DM;18;Reparos;6204;< 100 DM;1  a 4 anos;2;4;44;Própria;1;Informal;2;Não;Sim;Bom;41-50 anos
< 0 DM;30;Carro Usado;6187;100 a 500 DM;4 a 7 anos;1;4;24;Aluguel;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
< 0 DM;48;Carro Usado;6143;< 100 DM;>= 7 anos;4;4;58;Favor;2;Informal;1;Sim;Sim;Ruim;51-60 anos
Sem conta;11;Carro Novo;1393;< 100 DM;< 1 ano;4;4;35;Própria;2;Autônomo/Gerência/Oficial;1;Sim;Sim;Bom;31-40 anos
Sem conta;36;Rádio/TV;2299;500 a 1000 DM;>= 7 anos;4;4;39;Própria;1;Qualificado;1;Sim;Sim;Bom;31-40 anos
< 0 DM;6;Carro Usado;1352;500 a 1000 DM;Desempregado;1;2;23;Aluguel;1;Desempregado;1;Não;Sim;Bom;18-30 anos
Sem conta;11;Carro Novo;7228;< 100 DM;1  a 4 anos;1;4;39;Própria;2;Informal;1;Sim;Sim;Bom;31-40 anos
Sem conta;12;Rádio/TV;2073;100 a 500 DM;1  a 4 anos;4;2;28;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;24;Móveis/Equipamento;2333;Sem conta;< 1 ano;4;2;29;Própria;1;Informal;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;27;Carro Usado;5965;< 100 DM;>= 7 anos;1;2;30;Própria;2;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;18-30 anos
Sem conta;12;Rádio/TV;1262;< 100 DM;1  a 4 anos;3;2;25;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;18;Carro Usado;3378;Sem conta;1  a 4 anos;2;1;31;Própria;1;Qualificado;1;Não;Sim;Bom;31-40 anos
0 a 200 DM;36;Carro Novo;2225;< 100 DM;>= 7 anos;4;4;57;Favor;2;Qualificado;1;Não;Sim;Ruim;51-60 anos
Sem conta;6;Carro Novo;783;Sem conta;1  a 4 anos;1;2;26;Própria;1;Informal;2;Sim;Sim;Bom;18-30 anos
0 a 200 DM;12;Rádio/TV;6468;Sem conta;Desempregado;2;1;52;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;51-60 anos
Sem conta;36;Rádio/TV;9566;< 100 DM;1  a 4 anos;2;2;31;Própria;2;Qualificado;1;Sim;Sim;Bom;31-40 anos
>= 200 DM;18;Carro Novo;1961;< 100 DM;>= 7 anos;3;2;23;Própria;1;Autônomo/Gerência/Oficial;1;Sim;Sim;Bom;18-30 anos
< 0 DM;36;Móveis/Equipamento;6229;< 100 DM;< 1 ano;4;4;23;Aluguel;2;Informal;1;Não;Sim;Ruim;18-30 anos
0 a 200 DM;9;Negócios;1391;< 100 DM;1  a 4 anos;2;1;27;Própria;1;Qualificado;1;Não;Sim;Bom;18-30 anos
0 a 200 DM;15;Rádio/TV;1537;Sem conta;>= 7 anos;4;4;50;Própria;2;Qualificado;1;Não;Sim;Bom;41-50 anos
0 a 200 DM;36;Negócios;1953;< 100 DM;>= 7 anos;4;4;61;Favor;1;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;60+ anos
0 a 200 DM;48;Negócios;14421;< 100 DM;1  a 4 anos;2;2;25;Própria;1;Qualificado;1;Não;Sim;Ruim;18-30 anos
Sem conta;24;Rádio/TV;3181;< 100 DM;< 1 ano;4;4;26;Própria;1;Qualificado;1;Não;Sim;Bom;18-30 anos
Sem conta;27;Reparos;5190;Sem conta;>= 7 anos;4;4;48;Própria;4;Qualificado;2;Não;Sim;Bom;41-50 anos
Sem conta;12;Rádio/TV;2171;< 100 DM;< 1 ano;2;2;29;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;12;Carro Novo;1007;>= 1000 DM;1  a 4 anos;4;1;22;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;36;Educação;1819;< 100 DM;1  a 4 anos;4;4;37;Favor;1;Qualificado;1;Não;Sim;Ruim;31-40 anos
Sem conta;36;Rádio/TV;2394;Sem conta;1  a 4 anos;4;4;25;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;36;Carro Usado;8133;< 100 DM;1  a 4 anos;1;2;30;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;7;Rádio/TV;730;Sem conta;>= 7 anos;4;2;46;Aluguel;2;Informal;1;Não;Sim;Bom;41-50 anos
< 0 DM;8;Outros;1164;< 100 DM;>= 7 anos;3;4;51;Favor;2;Autônomo/Gerência/Oficial;2;Não;Sim;Bom;51-60 anos
0 a 200 DM;42;Negócios;5954;< 100 DM;4 a 7 anos;2;1;41;Própria;2;Informal;1;Sim;Sim;Bom;41-50 anos
< 0 DM;36;Educação;1977;Sem conta;>= 7 anos;4;4;40;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;31-40 anos
< 0 DM;12;Carro Usado;1526;< 100 DM;>= 7 anos;4;4;66;Favor;2;Autônomo/Gerência/Oficial;1;Sim;Sim;Bom;60+ anos
< 0 DM;42;Rádio/TV;3965;< 100 DM;< 1 ano;4;3;34;Própria;1;Qualificado;1;Sim;Sim;Ruim;31-40 anos
0 a 200 DM;11;Rádio/TV;4771;< 100 DM;4 a 7 anos;2;4;51;Própria;1;Qualificado;1;Sim;Sim;Bom;51-60 anos
Sem conta;54;Carro Usado;9436;Sem conta;1  a 4 anos;2;2;39;Própria;1;Informal;2;Sim;Sim;Bom;31-40 anos
0 a 200 DM;30;Móveis/Equipamento;3832;< 100 DM;< 1 ano;2;1;22;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;24;Rádio/TV;5943;Sem conta;< 1 ano;1;1;44;Própria;2;Qualificado;1;Não;Sim;Ruim;41-50 anos
Sem conta;15;Rádio/TV;1213;500 a 1000 DM;>= 7 anos;4;3;47;Própria;1;Qualificado;1;Não;Sim;Bom;41-50 anos
Sem conta;18;Negócios;1568;100 a 500 DM;1  a 4 anos;3;4;24;Aluguel;1;Informal;1;Sim;Sim;Bom;18-30 anos
< 0 DM;24;Outros;1755;< 100 DM;>= 7 anos;4;4;58;Própria;1;Informal;1;Não;Sim;Bom;51-60 anos
< 0 DM;10;Rádio/TV;2315;< 100 DM;>= 7 anos;3;4;52;Própria;1;Informal;1;Sim;Sim;Bom;51-60 anos
Sem conta;12;Negócios;1412;< 100 DM;1  a 4 anos;4;2;29;Própria;2;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;18-30 anos
0 a 200 DM;18;Móveis/Equipamento;1295;< 100 DM;< 1 ano;4;1;27;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;36;Educação;12612;100 a 500 DM;1  a 4 anos;1;4;47;Favor;1;Qualificado;2;Não;Sim;Ruim;41-50 anos
< 0 DM;18;Carro Novo;2249;100 a 500 DM;4 a 7 anos;4;3;30;Própria;1;Autônomo/Gerência/Oficial;2;Não;Sim;Bom;18-30 anos
< 0 DM;12;Reparos;1108;< 100 DM;4 a 7 anos;4;3;28;Própria;2;Qualificado;1;Sim;Sim;Ruim;18-30 anos
Sem conta;12;Rádio/TV;618;< 100 DM;>= 7 anos;4;4;56;Própria;1;Qualificado;1;Sim;Sim;Bom;51-60 anos
< 0 DM;12;Carro Usado;1409;< 100 DM;>= 7 anos;4;3;54;Própria;1;Qualificado;1;Sim;Sim;Bom;51-60 anos
Sem conta;12;Rádio/TV;797;Sem conta;>= 7 anos;4;3;33;Própria;1;Informal;2;Sim;Sim;Ruim;31-40 anos
>= 200 DM;24;Móveis/Equipamento;3617;Sem conta;>= 7 anos;4;4;20;Aluguel;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;12;Carro Novo;1318;>= 1000 DM;>= 7 anos;4;4;54;Própria;1;Qualificado;1;Não;Sim;Bom;51-60 anos
0 a 200 DM;54;Negócios;15945;< 100 DM;< 1 ano;3;4;58;Aluguel;1;Qualificado;1;Não;Sim;Ruim;51-60 anos
Sem conta;12;Educação;2012;Sem conta;4 a 7 anos;4;2;61;Própria;1;Qualificado;1;Sim;Sim;Bom;60+ anos
0 a 200 DM;18;Negócios;2622;100 a 500 DM;1  a 4 anos;4;4;34;Própria;1;Qualificado;1;Sim;Sim;Bom;31-40 anos
0 a 200 DM;36;Rádio/TV;2337;< 100 DM;>= 7 anos;4;4;36;Própria;1;Qualificado;1;Sim;Sim;Bom;31-40 anos
0 a 200 DM;20;Carro Usado;7057;Sem conta;4 a 7 anos;3;4;36;Aluguel;2;Autônomo/Gerência/Oficial;2;Não;Sim;Bom;31-40 anos
Sem conta;24;Carro Novo;1469;100 a 500 DM;>= 7 anos;4;4;41;Aluguel;1;Informal;1;Sim;Sim;Bom;41-50 anos
0 a 200 DM;36;Rádio/TV;2323;< 100 DM;4 a 7 anos;4;4;24;Aluguel;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;6;Rádio/TV;932;< 100 DM;1  a 4 anos;3;2;24;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;9;Móveis/Equipamento;1919;< 100 DM;4 a 7 anos;4;3;35;Aluguel;1;Qualificado;1;Não;Sim;Bom;31-40 anos
Sem conta;12;Carro Usado;2445;Sem conta;< 1 ano;2;4;26;Aluguel;1;Qualificado;1;Não;Sim;Bom;18-30 anos
0 a 200 DM;24;Outros;11938;< 100 DM;1  a 4 anos;2;3;39;Própria;2;Autônomo/Gerência/Oficial;2;Não;Sim;Ruim;31-40 anos
Sem conta;18;Carro Novo;6458;< 100 DM;>= 7 anos;2;4;39;Própria;2;Autônomo/Gerência/Oficial;2;Não;Sim;Ruim;31-40 anos
0 a 200 DM;12;Carro Novo;6078;< 100 DM;4 a 7 anos;2;2;32;Própria;1;Qualificado;1;Sim;Sim;Bom;31-40 anos
< 0 DM;24;Móveis/Equipamento;7721;Sem conta;< 1 ano;1;2;30;Própria;1;Qualificado;1;Não;Não;Bom;18-30 anos
0 a 200 DM;14;Negócios;1410;500 a 1000 DM;>= 7 anos;1;2;35;Própria;1;Qualificado;1;Não;Sim;Bom;31-40 anos
0 a 200 DM;6;Negócios;1449;100 a 500 DM;>= 7 anos;1;2;31;Própria;2;Qualificado;2;Sim;Sim;Bom;31-40 anos
>= 200 DM;15;Educação;392;< 100 DM;< 1 ano;4;4;23;Aluguel;1;Qualificado;1;Não;Sim;Bom;18-30 anos
0 a 200 DM;18;Carro Novo;6260;< 100 DM;4 a 7 anos;3;3;28;Aluguel;1;Informal;1;Sim;Sim;Bom;18-30 anos
Sem conta;36;Carro Novo;7855;< 100 DM;1  a 4 anos;4;2;25;Própria;2;Qualificado;1;Não;Sim;Ruim;18-30 anos
< 0 DM;12;Rádio/TV;1680;500 a 1000 DM;>= 7 anos;3;1;35;Própria;1;Qualificado;1;Sim;Sim;Bom;31-40 anos
Sem conta;48;Rádio/TV;3578;Sem conta;>= 7 anos;4;1;47;Própria;1;Qualificado;1;Não;Sim;Bom;41-50 anos
< 0 DM;42;Rádio/TV;7174;Sem conta;4 a 7 anos;4;3;30;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;18-30 anos
< 0 DM;10;Móveis/Equipamento;2132;Sem conta;< 1 ano;2;3;27;Aluguel;2;Qualificado;1;Sim;Não;Bom;18-30 anos
< 0 DM;33;Móveis/Equipamento;4281;500 a 1000 DM;1  a 4 anos;1;4;23;Própria;2;Qualificado;1;Sim;Sim;Ruim;18-30 anos
0 a 200 DM;12;Carro Novo;2366;500 a 1000 DM;4 a 7 anos;3;3;36;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;31-40 anos
< 0 DM;21;Rádio/TV;1835;< 100 DM;1  a 4 anos;3;2;25;Própria;2;Qualificado;1;Não;Sim;Ruim;18-30 anos
Sem conta;24;Carro Usado;3868;< 100 DM;>= 7 anos;4;2;41;Aluguel;2;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;41-50 anos
Sem conta;12;Móveis/Equipamento;1768;< 100 DM;1  a 4 anos;3;2;24;Aluguel;1;Informal;1;Sim;Sim;Bom;18-30 anos
>= 200 DM;10;Carro Novo;781;< 100 DM;>= 7 anos;4;4;63;Favor;2;Qualificado;1;Não;Sim;Bom;60+ anos
0 a 200 DM;18;Móveis/Equipamento;1924;Sem conta;< 1 ano;4;3;27;Aluguel;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
< 0 DM;12;Carro Novo;2121;< 100 DM;1  a 4 anos;4;2;30;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
< 0 DM;12;Rádio/TV;701;< 100 DM;1  a 4 anos;4;2;40;Própria;1;Informal;1;Sim;Sim;Bom;31-40 anos
0 a 200 DM;12;Reparos;639;< 100 DM;1  a 4 anos;4;2;30;Própria;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
0 a 200 DM;12;Carro Usado;1860;< 100 DM;Desempregado;4;2;34;Própria;2;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;31-40 anos
< 0 DM;12;Carro Novo;3499;< 100 DM;1  a 4 anos;3;2;29;Própria;2;Qualificado;1;Sim;Sim;Ruim;18-30 anos
0 a 200 DM;48;Carro Novo;8487;Sem conta;4 a 7 anos;1;2;24;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
< 0 DM;36;Educação;6887;< 100 DM;1  a 4 anos;4;3;29;Própria;1;Qualificado;1;Não;Sim;Ruim;18-30 anos
Sem conta;15;Móveis/Equipamento;2708;< 100 DM;< 1 ano;2;3;27;Própria;2;Informal;1;Sim;Sim;Bom;18-30 anos
Sem conta;18;Móveis/Equipamento;1984;< 100 DM;1  a 4 anos;4;4;47;Favor;2;Qualificado;1;Sim;Sim;Bom;41-50 anos
Sem conta;60;Rádio/TV;10144;100 a 500 DM;4 a 7 anos;2;4;21;Própria;1;Qualificado;1;Não;Sim;Bom;18-30 anos
Sem conta;12;Rádio/TV;1240;Sem conta;>= 7 anos;4;2;38;Própria;2;Qualificado;1;Não;Sim;Bom;31-40 anos
Sem conta;27;Carro Usado;8613;>= 1000 DM;1  a 4 anos;2;2;27;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;12;Rádio/TV;766;500 a 1000 DM;1  a 4 anos;4;3;66;Própria;1;Informal;1;Sim;Sim;Ruim;60+ anos
0 a 200 DM;15;Rádio/TV;2728;Sem conta;4 a 7 anos;4;2;35;Própria;3;Qualificado;1;Não;Sim;Bom;31-40 anos
>= 200 DM;12;Rádio/TV;1881;< 100 DM;1  a 4 anos;2;2;44;Aluguel;1;Informal;1;Não;Sim;Bom;41-50 anos
>= 200 DM;6;Carro Novo;709;>= 1000 DM;< 1 ano;2;2;27;Própria;1;Desempregado;1;Sim;Não;Bom;18-30 anos
0 a 200 DM;36;Rádio/TV;4795;< 100 DM;< 1 ano;4;1;30;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;18-30 anos
< 0 DM;27;Rádio/TV;3416;< 100 DM;1  a 4 anos;3;2;27;Própria;1;Autônomo/Gerência/Oficial;1;Sim;Sim;Bom;18-30 anos
< 0 DM;18;Móveis/Equipamento;2462;< 100 DM;1  a 4 anos;2;2;22;Própria;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
Sem conta;21;Móveis/Equipamento;2288;< 100 DM;< 1 ano;4;4;23;Própria;1;Qualificado;1;Não;Sim;Bom;18-30 anos
0 a 200 DM;48;Negócios;3566;100 a 500 DM;4 a 7 anos;4;2;30;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
< 0 DM;6;Carro Novo;860;< 100 DM;>= 7 anos;1;4;39;Própria;2;Qualificado;1;Não;Sim;Bom;31-40 anos
Sem conta;12;Carro Novo;682;100 a 500 DM;4 a 7 anos;4;3;51;Própria;2;Qualificado;1;Não;Sim;Bom;51-60 anos
< 0 DM;36;Móveis/Equipamento;5371;< 100 DM;1  a 4 anos;3;2;28;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;18;Rádio/TV;1582;>= 1000 DM;>= 7 anos;4;4;46;Própria;2;Qualificado;1;Sim;Sim;Bom;41-50 anos
Sem conta;6;Rádio/TV;1346;100 a 500 DM;>= 7 anos;2;4;42;Favor;1;Qualificado;2;Não;Sim;Bom;41-50 anos
Sem conta;10;Rádio/TV;1924;< 100 DM;1  a 4 anos;1;4;38;Própria;1;Qualificado;1;Não;Não;Bom;31-40 anos
>= 200 DM;36;Rádio/TV;5848;< 100 DM;1  a 4 anos;4;1;24;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;24;Carro Usado;7758;>= 1000 DM;>= 7 anos;2;4;29;Aluguel;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
0 a 200 DM;24;Negócios;6967;100 a 500 DM;4 a 7 anos;4;4;36;Aluguel;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;31-40 anos
< 0 DM;12;Móveis/Equipamento;1282;< 100 DM;1  a 4 anos;2;4;20;Aluguel;1;Qualificado;1;Sim;Sim;Ruim;18-30 anos
< 0 DM;9;Reparos;1288;100 a 500 DM;>= 7 anos;3;4;48;Própria;2;Qualificado;2;Sim;Não;Bom;41-50 anos
< 0 DM;12;Retreinamento;339;< 100 DM;>= 7 anos;4;1;45;Própria;1;Informal;1;Sim;Sim;Bom;41-50 anos
0 a 200 DM;24;Carro Novo;3512;100 a 500 DM;4 a 7 anos;2;3;38;Própria;2;Qualificado;1;Não;Sim;Bom;31-40 anos
Sem conta;6;Rádio/TV;1898;Sem conta;1  a 4 anos;1;2;34;Própria;2;Informal;2;Sim;Sim;Bom;31-40 anos
Sem conta;24;Rádio/TV;2872;100 a 500 DM;>= 7 anos;3;4;36;Própria;1;Qualificado;2;Não;Sim;Bom;31-40 anos
Sem conta;18;Carro Novo;1055;< 100 DM;< 1 ano;4;1;30;Própria;2;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;15;Eletrodomésticos;1262;500 a 1000 DM;4 a 7 anos;4;3;36;Própria;2;Qualificado;1;Não;Sim;Bom;31-40 anos
0 a 200 DM;10;Carro Novo;7308;< 100 DM;Desempregado;2;4;70;Favor;1;Autônomo/Gerência/Oficial;1;Não;Sim;Bom;60+ anos
Sem conta;36;Carro Novo;909;500 a 1000 DM;>= 7 anos;4;4;36;Própria;1;Qualificado;1;Sim;Sim;Bom;31-40 anos
Sem conta;6;Móveis/Equipamento;2978;500 a 1000 DM;1  a 4 anos;1;2;32;Própria;1;Qualificado;1;Não;Sim;Bom;31-40 anos
< 0 DM;18;Móveis/Equipamento;1131;< 100 DM;Desempregado;4;2;33;Própria;1;Qualificado;1;Sim;Sim;Ruim;31-40 anos
0 a 200 DM;11;Móveis/Equipamento;1577;>= 1000 DM;< 1 ano;4;1;20;Própria;1;Qualificado;1;Sim;Sim;Bom;18-30 anos
Sem conta;24;Móveis/Equipamento;3972;< 100 DM;4 a 7 anos;2;4;25;Aluguel;1;Qualificado;1;Não;Sim;Bom;18-30 anos
0 a 200 DM;24;Negócios;1935;< 100 DM;>= 7 anos;4;4;31;Própria;2;Qualificado;1;Não;Sim;Ruim;31-40 anos
< 0 DM;15;Carro Novo;950;< 100 DM;>= 7 anos;4;3;33;Aluguel;2;Qualificado;2;Sim;Sim;Ruim;31-40 anos
Sem conta;12;Móveis/Equipamento;763;< 100 DM;1  a 4 anos;4;1;26;Própria;1;Qualificado;1;Não;Sim;Bom;18-30 anos
0 a 200 DM;24;Móveis/Equipamento;2064;< 100 DM;Desempregado;3;2;34;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;31-40 anos
0 a 200 DM;8;Rádio/TV;1414;< 100 DM;1  a 4 anos;4;2;33;Própria;1;Qualificado;1;Sim;Não;Bom;31-40 anos
< 0 DM;21;Educação;3414;< 100 DM;< 1 ano;2;1;26;Própria;2;Qualificado;1;Sim;Sim;Ruim;18-30 anos
Sem conta;30;Carro Usado;7485;Sem conta;Desempregado;4;1;53;Própria;1;Autônomo/Gerência/Oficial;1;Não;Sim;Ruim;51-60 anos
< 0 DM;12;Móveis/Equipamento;2577;< 100 DM;1  a 4 anos;2;1;42;Própria;1;Qualificado;1;Sim;Sim;Bom;41-50 anos
< 0 DM;6;Rádio/TV;338;500 a 1000 DM;>= 7 anos;4;4;52;Própria;2;Qualificado;1;Sim;Sim;Bom;51-60 anos
Sem conta;12;Rádio/TV;1963;< 100 DM;4 a 7 anos;4;2;31;Aluguel;2;Autônomo/Gerência/Oficial;2;Não;Sim;Bom;31-40 anos
< 0 DM;21;Carro Novo;571;< 100 DM;>= 7 anos;4;4;65;Própria;2;Qualificado;1;Sim;Sim;Bom;60+ anos
